ts,phase,stage,uncertainty_index,request,vehicle,table_number,table_id,dynamic_t_begin,duration_type,gt_mean,phase_label,oracle_ctx_mode,delay_tolerance,severity,passed_terminals,current_time,action,reward,action_meaning,feasible,source,p_action1,algo,regime_id,context_id,drift_score,belief_smooth_penalty,value_residual,delta_t,policy_kl,action_prob,entropy,bootstrap,trust_region_scaled,trust_region_scale,gate_prob_0_mean,gate_prob_1_mean,gate_entropy_mean,expert0_action1_prob_mean,expert1_action1_prob_mean,expert_selected_ratio,moe_div_mean,pdi_future_mean,pdi_pref_mean,pdi_hard_mean,pdi_fail0_mean,pdi_fail1_mean,stage_family,matched,run_label,run_dir,distribution,seed,algorithm,algo_version,reward_pos,action1,action0,semantic_action,wait_like,engage_like,ts_decision,ts_reward,run_id,decision_seq,decision_id,stage_mode,pair_index,impl_stream,impl_list_idx,h_index,severity_bucket
1771783046.6446528,implement,receive_reward,1,3000000000019,36,952,952,95,mix_mu_5_40_terminal_dependent,90,B,none,34.099999999999994,6.0,"""[5.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",95,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771783046.8617508,implement,receive_reward,1,3000000000022,36,952,952,95,mix_mu_5_40_terminal_dependent,90,B,none,54.099999999999994,6.0,"""[5.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",95,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771783129.8079958,implement,receive_reward,0,3000000000016,82,951,951,4,mix_mu_5_40_terminal_dependent,90,B,none,72.28,4.0,"""[0.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",4,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771783130.0020375,implement,receive_reward,0,3000000000015,83,951,951,4,mix_mu_5_40_terminal_dependent,90,B,none,150.5,4.0,"""[0.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",4,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771783130.267761,implement,receive_reward,0,3000000000012,90,951,951,4,mix_mu_5_40_terminal_dependent,90,B,none,66.0,4.0,"""[0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",4,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771783132.790959,implement,receive_reward,0,3000000000016,82,949,949,1,mix_mu_5_40_terminal_dependent,90,B,none,75.28,3.0,"""[0.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",1,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,low(2-3)
1771782840.5051491,implement,receive_reward,0,3000000000027,102,956,956,2,mix_mu_5_40_terminal_dependent,90,B,none,71.0,5.0,"""[6.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",2,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771782012.53647,implement,receive_reward,0,3000000000005,26,977,977,3,mix_mu_5_40_terminal_dependent,90,B,none,115.5,6.0,"""[5, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",3,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
1771782840.270863,implement,receive_reward,0,3000000000025,102,956,956,2,mix_mu_5_40_terminal_dependent,90,B,none,130.0,5.0,"""[6.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",2,0,1.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,1,0,1,wait,1,0,,,,,,,,,,,mid(4-5)
1771782797.4117444,implement,receive_reward,1,3000000000019,36,958,958,102,mix_mu_5_40_terminal_dependent,90,B,none,9.599999999999994,6.0,"""[1.0, -1, -1, -1, -1, -1, -1, -1, -1, -1]""",102,0,0.0,等待/保持,,RL,,PPO_NEW,B,B|gt_mean=90,0.0,,,,,,,,,,,,,,,,,,,,,,removal,1,PPO_NEW_v3,a:\MYpython\34959_RL\codes\nexus\thesis_matrix_v3_ext\run_20260223_005933_607536_R30_O_10_90_PPO_NEW_S42,O_10_90,42,PPO_NEW,v3,0,0,1,wait,1,0,,,,,,,,,,,high(6+)
