w_q,w_h,w_c,w_e,w_i,spearman_avg_reward,spearman_q_hard,spearman_r_hard,plr_score_mean,ppo_score_mean,ppo_new_score_mean,plr_beats_ppo,plr_beats_ppo_new,priority_score
0.2,0.1,0.14,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.13255555555555557,0.10925071225071226,0.11692817059483729,1,1,4.958113883008419
0.2,0.1,0.14,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.16255555555555556,0.10925071225071226,0.12692817059483727,1,1,4.958113883008419
0.2,0.1,0.14,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.18255555555555558,0.10925071225071226,0.13359483726150395,1,1,4.958113883008419
0.2,0.1,0.14,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.21255555555555555,0.10925071225071226,0.14359483726150393,1,1,4.958113883008419
0.2,0.14,0.08,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.1313703703703704,0.10971225071225071,0.11672839506172843,1,1,4.958113883008419
0.2,0.14,0.08,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.1613703703703704,0.10971225071225071,0.12672839506172842,1,1,4.958113883008419
0.2,0.14,0.08,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.1813703703703704,0.10971225071225071,0.13339506172839508,1,1,4.958113883008419
0.2,0.14,0.08,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.21137037037037038,0.10971225071225071,0.14339506172839508,1,1,4.958113883008419
0.2,0.14,0.14,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.13492592592592595,0.10925071225071226,0.11792031425364762,1,1,4.958113883008419
0.2,0.14,0.14,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.16492592592592595,0.10925071225071226,0.1279203142536476,1,1,4.958113883008419
0.2,0.14,0.14,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.18492592592592594,0.10925071225071226,0.13458698092031426,1,1,4.958113883008419
0.2,0.14,0.14,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.21492592592592596,0.10925071225071226,0.14458698092031427,1,1,4.958113883008419
0.2,0.18,0.08,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.13374074074074074,0.10971225071225071,0.11772053872053871,1,1,4.958113883008419
0.2,0.18,0.08,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.16374074074074074,0.10971225071225071,0.1277205387205387,1,1,4.958113883008419
0.2,0.18,0.08,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.18374074074074076,0.10971225071225071,0.1343872053872054,1,1,4.958113883008419
0.2,0.18,0.08,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.21374074074074073,0.10971225071225071,0.14438720538720537,1,1,4.958113883008419
0.2,0.18,0.14,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.1372962962962963,0.10925071225071226,0.11891245791245791,1,1,4.958113883008419
0.2,0.18,0.14,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.1672962962962963,0.10925071225071226,0.1289124579124579,1,1,4.958113883008419
0.2,0.18,0.14,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.1872962962962963,0.10925071225071226,0.13557912457912458,1,1,4.958113883008419
0.2,0.18,0.14,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.21729629629629632,0.10925071225071226,0.14557912457912459,1,1,4.958113883008419
0.24,0.1,0.0,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.14292592592592593,0.12662393162393162,0.13148035914702583,1,1,4.958113883008419
0.24,0.1,0.0,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.17292592592592593,0.12662393162393162,0.1414803591470258,1,1,4.958113883008419
0.24,0.1,0.0,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.19292592592592595,0.12662393162393162,0.1481470258136925,1,1,4.958113883008419
0.24,0.1,0.0,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.22292592592592592,0.12662393162393162,0.15814702581369247,1,1,4.958113883008419
0.24,0.1,0.08,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.14766666666666667,0.126008547008547,0.1330695847362514,1,1,4.958113883008419
0.24,0.1,0.08,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.17766666666666667,0.126008547008547,0.14306958473625142,1,1,4.958113883008419
0.24,0.1,0.08,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.19766666666666666,0.126008547008547,0.14973625140291807,1,1,4.958113883008419
0.24,0.1,0.08,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.22766666666666668,0.126008547008547,0.15973625140291808,1,1,4.958113883008419
0.24,0.1,0.14,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.15122222222222223,0.12554700854700854,0.1342615039281706,1,1,4.958113883008419
0.24,0.1,0.14,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.18122222222222223,0.12554700854700854,0.1442615039281706,1,1,4.958113883008419
0.24,0.1,0.14,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.20122222222222225,0.12554700854700854,0.1509281705948373,1,1,4.958113883008419
0.24,0.1,0.14,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.23122222222222222,0.12554700854700854,0.16092817059483727,1,1,4.958113883008419
0.24,0.14,0.0,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.1452962962962963,0.12662393162393162,0.13247250280583614,1,1,4.958113883008419
0.24,0.14,0.0,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.1752962962962963,0.12662393162393162,0.14247250280583615,1,1,4.958113883008419
0.24,0.14,0.0,0.05,0.05,0.316227766016838,0.7999999999999999,0.632455532033676,0.1952962962962963,0.12662393162393162,0.1491391694725028,1,1,4.958113883008419
0.24,0.14,0.0,0.05,0.08,0.316227766016838,0.7999999999999999,0.632455532033676,0.22529629629629633,0.12662393162393162,0.1591391694725028,1,1,4.958113883008419
0.24,0.14,0.08,0.05,0.0,0.316227766016838,0.7999999999999999,0.632455532033676,0.15003703703703705,0.126008547008547,0.13406172839506172,1,1,4.958113883008419
0.24,0.14,0.08,0.05,0.03,0.316227766016838,0.7999999999999999,0.632455532033676,0.18003703703703705,0.126008547008547,0.14406172839506173,1,1,4.958113883008419
